case	T	alpha_exact	alpha_float	fvector	producer_abstract_class	norm_w2_stored	R1_equality_of_stored_data	R2_proper_congruence	R3_congruence	R4_proper_similarity	R5_similarity	R6_congruence_after_unit_normalisation	R7_up_to_enantiomorphism	partner_under_R4_to_R7	lambda_partner_over_self_exact	certificate_det_sign	method1_R5_class	method2_R5_class	author_R5_class
L3-{4,3,3}-1	{4,3,3}	1/2	0.500000000000	(16,32,12,4)	1	3	1	1	1	1	1	1	1	L3-{4,3,3}-6	4/3	+1	1	1	1
L3-{4,3,3}-2	{4,3,3}	2	2.000000000000	(16,32,12,4)	1	3/4	2	2	2	2	2	2	2	L3-{4,3,3}-3	4/3	+1	2	2	2
L3-{4,3,3}-3	{4,3,3}	infinity	inf	(16,32,12,4)	1	1	3	3	3	2	2	2	2	L3-{4,3,3}-2	3/4	+1	2	2	2
L3-{4,3,3}-6	{4,3,3}	0	0.000000000000	(16,32,12,4)	1	4	4	4	4	1	1	1	1	L3-{4,3,3}-1	3/4	+1	1	1	1
L3-{5,3,3}-3	{5,3,3}	2*E(40)^7-3*E(40)^8-2*E(40)^13-E(40)^16-E(40)^21+2*E(40)^23-E(40)^24-E(40)^29+E(40)^31-3*E(40)^32-2*E(40)^37+E(40)^39	0.304113535976	(600,1200,120,5)	2	356+220*E(40)^8-220*E(40)^12	5	5	5	3	3	3	3	L3-{5,3,3}-8	-26*E(5)-10*E(5)^2-10*E(5)^3-26*E(5)^4	+1	3	3	3
L3-{5,3,3}-8	{5,3,3}	0	0.000000000000	(600,1200,120,5)	2	40+24*E(40)^8-24*E(40)^12	6	6	6	3	3	3	3	L3-{5,3,3}-3	-5/2*E(5)-13/2*E(5)^2-13/2*E(5)^3-5/2*E(5)^4	+1	3	3	3
L3-{5,3,5/2}-1	{5,3,5/2}	2/3*E(40)^7-1/3*E(40)^8-2/3*E(40)^13-2/3*E(40)^16-2/3*E(40)^21+2/3*E(40)^23-2/3*E(40)^24-2/3*E(40)^29+2/3*E(40)^31-1/3*E(40)^32-2/3*E(40)^37+2/3*E(40)^39	1.815487037832	(240,480,120,20)	4	208-90*E(40)-90*E(40)^3-56*E(40)^5+90*E(40)^7+128*E(40)^8-90*E(40)^9-128*E(40)^12+146*E(40)^15	7	7	7	4	4	4	4	L3-{5,3,5/2}-4	1/3*E(40)^7-5/6*E(40)^8-1/3*E(40)^13-2/3*E(40)^16-1/3*E(40)^21+1/3*E(40)^23-2/3*E(40)^24-1/3*E(40)^29+1/3*E(40)^31-5/6*E(40)^32-1/3*E(40)^37+1/3*E(40)^39	+1	4	4	4
L3-{5,3,5/2}-2	{5,3,5/2}	-2/3*E(40)^7-1/3*E(40)^8+2/3*E(40)^13-2/3*E(40)^16+2/3*E(40)^21-2/3*E(40)^23-2/3*E(40)^24+2/3*E(40)^29-2/3*E(40)^31-1/3*E(40)^32+2/3*E(40)^37-2/3*E(40)^39	-0.070131045332	(240,480,120,20)	4	208+90*E(40)+90*E(40)^3+56*E(40)^5-90*E(40)^7+128*E(40)^8+90*E(40)^9-128*E(40)^12-146*E(40)^15	8	8	8	5	5	5	5	L3-{5,3,5/2}-3	-1/3*E(40)^7-5/6*E(40)^8+1/3*E(40)^13-2/3*E(40)^16+1/3*E(40)^21-1/3*E(40)^23-2/3*E(40)^24+1/3*E(40)^29-1/3*E(40)^31-5/6*E(40)^32+1/3*E(40)^37-1/3*E(40)^39	+1	5	5	5
L3-{5,3,5/2}-3	{5,3,5/2}	-E(40)^7+E(40)^13-E(40)^16+E(40)^21-E(40)^23-E(40)^24+E(40)^29-E(40)^31+E(40)^37-E(40)^39	0.203820426377	(240,480,120,20)	4	20+8*E(40)+8*E(40)^3+5*E(40)^5-8*E(40)^7+12*E(40)^8+8*E(40)^9-12*E(40)^12-13*E(40)^15	9	9	9	5	5	5	5	L3-{5,3,5/2}-2	4/3*E(40)^7-8/3*E(40)^8-4/3*E(40)^13-14/3*E(40)^16-8/3*E(40)^21+4/3*E(40)^23-14/3*E(40)^24-8/3*E(40)^29+8/3*E(40)^31-8/3*E(40)^32-4/3*E(40)^37+8/3*E(40)^39	+1	5	5	5
L3-{5,3,5/2}-4	{5,3,5/2}	E(40)^7-E(40)^13-E(40)^16-E(40)^21+E(40)^23-E(40)^24-E(40)^29+E(40)^31-E(40)^37+E(40)^39	3.032247551123	(240,480,120,20)	4	20-8*E(40)-8*E(40)^3-5*E(40)^5+8*E(40)^7+12*E(40)^8-8*E(40)^9-12*E(40)^12+13*E(40)^15	10	10	10	4	4	4	4	L3-{5,3,5/2}-1	-4/3*E(40)^7-8/3*E(40)^8+4/3*E(40)^13-14/3*E(40)^16+8/3*E(40)^21-4/3*E(40)^23-14/3*E(40)^24+8/3*E(40)^29-8/3*E(40)^31-8/3*E(40)^32+4/3*E(40)^37-8/3*E(40)^39	+1	4	4	4
L3-{5,3,5/2}-5	{5,3,5/2}	-E(40)^7+E(40)^8+E(40)^13-E(40)^23+E(40)^32+E(40)^37	1.492066037648	(48,144,48,8)	5	20-8*E(40)-8*E(40)^3-5*E(40)^5+8*E(40)^7+12*E(40)^8-8*E(40)^9-12*E(40)^12+13*E(40)^15	11	11	11	6	6	6	6	L3-{5,3,5/2}-8	4/3*E(40)^7-7/3*E(40)^8-4/3*E(40)^13-4/3*E(40)^16-2/3*E(40)^21+4/3*E(40)^23-4/3*E(40)^24-2/3*E(40)^29+2/3*E(40)^31-7/3*E(40)^32-4/3*E(40)^37+2/3*E(40)^39	+1	6	6	6
L3-{5,3,5/2}-6	{5,3,5/2}	E(40)^7+E(40)^8-E(40)^13+E(40)^23+E(40)^32-E(40)^37	-0.255998060148	(48,144,48,8)	5	20+8*E(40)+8*E(40)^3+5*E(40)^5-8*E(40)^7+12*E(40)^8+8*E(40)^9-12*E(40)^12-13*E(40)^15	12	12	12	7	7	7	7	L3-{5,3,5/2}-7	-4/3*E(40)^7-7/3*E(40)^8+4/3*E(40)^13-4/3*E(40)^16+2/3*E(40)^21-4/3*E(40)^23-4/3*E(40)^24+2/3*E(40)^29-2/3*E(40)^31-7/3*E(40)^32+4/3*E(40)^37-2/3*E(40)^39	+1	7	7	7
L3-{5,3,5/2}-7	{5,3,5/2}	-E(40)^8-2*E(40)^16+E(40)^21-2*E(40)^24+E(40)^29-E(40)^31-E(40)^32-E(40)^39	0.329788377479	(48,144,48,8)	5	8+3*E(40)+3*E(40)^3+E(40)^5-3*E(40)^7+4*E(40)^8+3*E(40)^9-4*E(40)^12-4*E(40)^15	13	13	13	7	7	7	7	L3-{5,3,5/2}-6	2/3*E(40)^7-4/3*E(40)^8-2/3*E(40)^13-5/3*E(40)^16-2/3*E(40)^21+2/3*E(40)^23-5/3*E(40)^24-2/3*E(40)^29+2/3*E(40)^31-4/3*E(40)^32-2/3*E(40)^37+2/3*E(40)^39	+1	7	7	7
L3-{5,3,5/2}-8	{5,3,5/2}	-E(40)^8-2*E(40)^16-E(40)^21-2*E(40)^24-E(40)^29+E(40)^31-E(40)^32+E(40)^39	4.906279600021	(48,144,48,8)	5	8-3*E(40)-3*E(40)^3-E(40)^5+3*E(40)^7+4*E(40)^8-3*E(40)^9-4*E(40)^12+4*E(40)^15	14	14	14	6	6	6	6	L3-{5,3,5/2}-5	-2/3*E(40)^7-4/3*E(40)^8+2/3*E(40)^13-5/3*E(40)^16+2/3*E(40)^21-2/3*E(40)^23-5/3*E(40)^24+2/3*E(40)^29-2/3*E(40)^31-4/3*E(40)^32+2/3*E(40)^37-2/3*E(40)^39	+1	6	6	6
L3-{5,3,5/2}-9	{5,3,5/2}	1	1.000000000000	(120,720,300,50)	3	2+E(40)^8-E(40)^12	15	15	15	8	8	8	8	L3-{5,3,5/2}-12	6/5	+1	8	8	8
L3-{5,3,5/2}-10	{5,3,5/2}	-1	-1.000000000000	(120,720,300,50)	6	6+3*E(40)^8-3*E(40)^12	16	16	16	9	9	9	9	L3-{5,3,5/2}-11	2/3	+1	9	9	9
L3-{5,3,5/2}-11	{5,3,5/2}	E(5)+E(5)^4	0.618033988750	(120,720,300,50)	6	4+2*E(40)^8-2*E(40)^12	17	17	17	9	9	9	9	L3-{5,3,5/2}-10	3/2	+1	9	9	9
L3-{5,3,5/2}-12	{5,3,5/2}	E(5)+4*E(5)^2+4*E(5)^3+E(5)^4	-5.854101966250	(120,720,300,50)	3	12/5+6/5*E(40)^8-6/5*E(40)^12	18	18	18	8	8	8	8	L3-{5,3,5/2}-9	5/6	+1	8	8	8
L3-{5,3,5/2}-13	{5,3,5/2}	2	2.000000000000	(120,720,300,50)	6	3/2+3/4*E(40)^8-3/4*E(40)^12	19	19	19	10	10	10	10	L3-{5,3,5/2}-14	-16/3*E(5)-8/3*E(5)^2-8/3*E(5)^3-16/3*E(5)^4	+1	10	10	10
L3-{5,3,5/2}-14	{5,3,5/2}	-E(5)-2*E(5)^2-2*E(5)^3-E(5)^4	2.618033988750	(120,720,300,50)	6	2	20	20	20	10	10	10	10	L3-{5,3,5/2}-13	-3/8*E(5)-3/4*E(5)^2-3/4*E(5)^3-3/8*E(5)^4	+1	10	10	10
L3-{5,3,5/2}-15	{5,3,5/2}	-5*E(5)-2*E(5)^2-2*E(5)^3-5*E(5)^4	0.145898033750	(120,720,300,50)	3	78+48*E(40)^8-48*E(40)^12	21	21	21	11	11	11	11	L3-{5,3,5/2}-16	-10/3*E(5)-4/3*E(5)^2-4/3*E(5)^3-10/3*E(5)^4	+1	11	11	11
L3-{5,3,5/2}-16	{5,3,5/2}	0	0.000000000000	(120,720,300,50)	3	8+4*E(40)^8-4*E(40)^12	22	22	22	11	11	11	11	L3-{5,3,5/2}-15	-3*E(5)-15/2*E(5)^2-15/2*E(5)^3-3*E(5)^4	+1	11	11	11
L3-{3,3,5/2}-1	{3,3,5/2}	1	1.000000000000	(600,1200,120,5)	2	5/2-4*E(40)^8+4*E(40)^12	23	23	23	12	12	12	12	L3-{3,3,5/2}-4	2	+1	12	12	12
L3-{3,3,5/2}-4	{3,3,5/2}	-E(40)^7+E(40)^13+2*E(40)^16+2*E(40)^21-E(40)^23+2*E(40)^24+2*E(40)^29-2*E(40)^31+E(40)^37-2*E(40)^39	-6.938527151144	(600,1200,120,5)	2	5-8*E(40)^8+8*E(40)^12	24	24	24	12	12	12	12	L3-{3,3,5/2}-1	1/2	+1	12	12	12
