case_a	case_b	fvector	lambda	even_passes	odd_passes	even_det_sign	odd_det_sign	triple_orientation_of_passing_candidate	exhaustive_tuples	exhaustive_similarities	exhaustive_det_signs	verdict	even_image_orbit	odd_image_orbit	similarity_cosets	order_Gamma_b
L3-{4,3,3}-1	L3-{4,3,3}-1	(16,32,12,4)	1	true	true	+1	+1	even:same;odd:same	384	192	{+1}	R5-similar=yes;R3-congruent=yes;proper	even	even	1	192
L3-{4,3,3}-1	L3-{4,3,3}-2	(16,32,12,4)	1/4	false	false	+1	+1	none	384	0	{}	R5-similar=no;R3-congruent=no	none	none	0	192
L3-{4,3,3}-1	L3-{4,3,3}-3	(16,32,12,4)	1/3	false	false	+1	+1	none	384	0	{}	R5-similar=no;R3-congruent=no	none	none	0	192
L3-{4,3,3}-1	L3-{4,3,3}-6	(16,32,12,4)	4/3	true	true	+1	+1	even:mirror;odd:mirror	384	192	{+1}	R5-similar=yes;R3-congruent=no(lambda<>1);proper	odd	odd	1	192
L3-{4,3,3}-2	L3-{4,3,3}-1	(16,32,12,4)	4	false	false	+1	+1	none	384	0	{}	R5-similar=no;R3-congruent=no	none	none	0	192
L3-{4,3,3}-2	L3-{4,3,3}-2	(16,32,12,4)	1	true	true	+1	+1	even:same;odd:same	384	192	{+1}	R5-similar=yes;R3-congruent=yes;proper	even	even	1	192
L3-{4,3,3}-2	L3-{4,3,3}-3	(16,32,12,4)	4/3	true	true	+1	+1	even:mirror;odd:mirror	384	192	{+1}	R5-similar=yes;R3-congruent=no(lambda<>1);proper	odd	odd	1	192
L3-{4,3,3}-2	L3-{4,3,3}-6	(16,32,12,4)	16/3	false	false	+1	+1	none	384	0	{}	R5-similar=no;R3-congruent=no	none	none	0	192
L3-{4,3,3}-3	L3-{4,3,3}-1	(16,32,12,4)	3	false	false	+1	+1	none	384	0	{}	R5-similar=no;R3-congruent=no	none	none	0	192
L3-{4,3,3}-3	L3-{4,3,3}-2	(16,32,12,4)	3/4	true	true	+1	+1	even:mirror;odd:mirror	384	192	{+1}	R5-similar=yes;R3-congruent=no(lambda<>1);proper	odd	odd	1	192
L3-{4,3,3}-3	L3-{4,3,3}-3	(16,32,12,4)	1	true	true	+1	+1	even:same;odd:same	384	192	{+1}	R5-similar=yes;R3-congruent=yes;proper	even	even	1	192
L3-{4,3,3}-3	L3-{4,3,3}-6	(16,32,12,4)	4	false	false	+1	+1	none	384	0	{}	R5-similar=no;R3-congruent=no	none	none	0	192
L3-{4,3,3}-6	L3-{4,3,3}-1	(16,32,12,4)	3/4	true	true	+1	+1	even:mirror;odd:mirror	384	192	{+1}	R5-similar=yes;R3-congruent=no(lambda<>1);proper	odd	odd	1	192
L3-{4,3,3}-6	L3-{4,3,3}-2	(16,32,12,4)	3/16	false	false	+1	+1	none	384	0	{}	R5-similar=no;R3-congruent=no	none	none	0	192
L3-{4,3,3}-6	L3-{4,3,3}-3	(16,32,12,4)	1/4	false	false	+1	+1	none	384	0	{}	R5-similar=no;R3-congruent=no	none	none	0	192
L3-{4,3,3}-6	L3-{4,3,3}-6	(16,32,12,4)	1	true	true	+1	+1	even:same;odd:same	384	192	{+1}	R5-similar=yes;R3-congruent=yes;proper	even	even	1	192
L3-{5,3,3}-3	L3-{5,3,3}-3	(600,1200,120,5)	1	true	true	+1	+1	even:same;odd:same	14400	7200	{+1}	R5-similar=yes;R3-congruent=yes;proper	even	even	1	7200
L3-{5,3,3}-3	L3-{5,3,3}-8	(600,1200,120,5)	-26*E(5)-10*E(5)^2-10*E(5)^3-26*E(5)^4	true	true	+1	+1	even:mirror;odd:mirror	14400	7200	{+1}	R5-similar=yes;R3-congruent=no(lambda<>1);proper	odd	odd	1	7200
L3-{5,3,3}-3	L3-{3,3,5/2}-1	(600,1200,120,5)	-1597/8*E(5)-305/4*E(5)^2-305/4*E(5)^3-1597/8*E(5)^4	false	false	na	na	none	14400	0	{}	R5-similar=no;R3-congruent=no	none	none	0	7200
L3-{5,3,3}-3	L3-{3,3,5/2}-4	(600,1200,120,5)	-1597/4*E(5)-305/2*E(5)^2-305/2*E(5)^3-1597/4*E(5)^4	false	false	na	na	none	14400	0	{}	R5-similar=no;R3-congruent=no	none	none	0	7200
L3-{5,3,3}-8	L3-{5,3,3}-3	(600,1200,120,5)	-5/2*E(5)-13/2*E(5)^2-13/2*E(5)^3-5/2*E(5)^4	true	true	+1	+1	even:mirror;odd:mirror	14400	7200	{+1}	R5-similar=yes;R3-congruent=no(lambda<>1);proper	odd	odd	1	7200
