case	T	alpha	alpha_float	fvector	norm_w2	norm_w2_float	gamma_order	gen_dets	class_raw_unoriented	class_raw_oriented	class_scalefree_unoriented	class_scalefree_oriented	cf_raw_unoriented_sha256	cf_raw_oriented_sha256	cf_scalefree_unoriented_sha256	cf_scalefree_oriented_sha256	min_basis_sf	n_min_bases_sf	oriented_sign_sf
L3-{4,3,3}-1	{4,3,3}	1/2	0.500000000000	(16,32,12,4)	3	3.000000000000	192	+++	1	1	1	1	ea140d93fd85ddceec82a406c162533577f5ded9314b9cfa91d187af43c9c920	80b3c397a3196722efcaa285f13a7d546d1e22b6c0be4727ff9cfa760ff967da	436a548b2fb1d3ab218c159170d35d190b98d2653316a71d5db974b98bf61dda	9397b37e1e90d15b88793a024b4a6fbe0aeb3e437485c189a24dac4ff76842b3	(0,1,3,8)	12	-1
L3-{4,3,3}-2	{4,3,3}	2	2.000000000000	(16,32,12,4)	3/4	0.750000000000	192	+++	2	2	2	2	112dc5583b8bfdb55d4e19c3047380855458839e6a69d016e745987ae8471585	40b5c8612cd574cf120862d415c3cb99308ce6592007df599a4051372a09ae45	9ef7b017f00529785ef310676c97aae9fbd58706a28694c6cd06db4a17ba4b47	d312a911be02ae7e7d5798383b644cc1a9a8500b3f1bd0daea6bea23eeca2e8f	(0,1,3,8)	12	-1
L3-{4,3,3}-3	{4,3,3}	infinity	inf	(16,32,12,4)	1	1.000000000000	192	+++	3	3	2	2	9ef7b017f00529785ef310676c97aae9fbd58706a28694c6cd06db4a17ba4b47	d312a911be02ae7e7d5798383b644cc1a9a8500b3f1bd0daea6bea23eeca2e8f	9ef7b017f00529785ef310676c97aae9fbd58706a28694c6cd06db4a17ba4b47	d312a911be02ae7e7d5798383b644cc1a9a8500b3f1bd0daea6bea23eeca2e8f	(0,1,3,4)	12	-1
L3-{4,3,3}-6	{4,3,3}	0	0.000000000000	(16,32,12,4)	4	4.000000000000	192	+++	4	4	1	1	c72ade71b8d073b0f75d937f4f653a36c0adcb48c467050b7b8fe8a36c3861a4	caea83d5bd2690ac98b23877ac71ad363d06d82b09582bc4312cc53fb66a4ba8	436a548b2fb1d3ab218c159170d35d190b98d2653316a71d5db974b98bf61dda	9397b37e1e90d15b88793a024b4a6fbe0aeb3e437485c189a24dac4ff76842b3	(0,1,3,4)	12	-1
L3-{5,3,3}-3	{5,3,3}	2*E(40)^7-3*E(40)^8-2*E(40)^13-E(40)^16-E(40)^21+2*E(40)^23-E(40)^24-E(40)^29+E(40)^31-3*E(40)^32-2*E(40)^37+E(40)^39	0.304113535976	(600,1200,120,5)	356+220*E(40)^8-220*E(40)^12	491.967477524977	7200	+++	5	5	3	3	77bbae64de562f2a2a648df14e11a0acacebc0d34e6205bc412fd3a816bf8f8c	f41f597c0ab68208da3c26e2f60835868dc61fe9bb1bbeccc99a3de3f90ccdd3	a347977ead8b7ec3d6c8fb439064884e853375b341b6b682f39c0b974cdc9956	35f67ba1f5ce5b56b348f3423777c4b28d2f4ff22f6be38a185974ea7253ec3b	(0,1,3,8)	12	+1
L3-{5,3,3}-8	{5,3,3}	0	0.000000000000	(600,1200,120,5)	40+24*E(40)^8-24*E(40)^12	54.832815729997	7200	+++	6	6	3	3	81019391ed8a2f495de8e9ebc41bab0f8ff0ddfc29b74a4ad09222e94c1463d3	57d421c4637108e5b614a240b317116b803aedde7ba9b87c20ef9c2bf7daa77a	a347977ead8b7ec3d6c8fb439064884e853375b341b6b682f39c0b974cdc9956	35f67ba1f5ce5b56b348f3423777c4b28d2f4ff22f6be38a185974ea7253ec3b	(0,1,3,4)	12	+1
L3-{5,3,5/2}-1	{5,3,5/2}	2/3*E(40)^7-1/3*E(40)^8-2/3*E(40)^13-2/3*E(40)^16-2/3*E(40)^21+2/3*E(40)^23-2/3*E(40)^24-2/3*E(40)^29+2/3*E(40)^31-1/3*E(40)^32-2/3*E(40)^37+2/3*E(40)^39	1.815487037832	(240,480,120,20)	208-90*E(40)-90*E(40)^3-56*E(40)^5+90*E(40)^7+128*E(40)^8-90*E(40)^9-128*E(40)^12+146*E(40)^15	1.970286052727	2880	+++	7	7	4	4	c23d7d4db5a8f3ff8515629f873ffb298d6dfae5f681d37482b8e58a882d0f1d	77c3b25b147cac4087c091d5c54ba61fc274b6c1b9bc8d27d7e7889afc393eb1	1df5248fb0135b053501a8ef6fb9b1ea8cd2c47e4b689e5db20dadf7107765e8	371c29e0fe9255ebd0b698388e028ef9e9c7cce17093c86174a78a188e4e58fd	(0,1,3,8)	12	+1
L3-{5,3,5/2}-2	{5,3,5/2}	-2/3*E(40)^7-1/3*E(40)^8+2/3*E(40)^13-2/3*E(40)^16+2/3*E(40)^21-2/3*E(40)^23-2/3*E(40)^24+2/3*E(40)^29-2/3*E(40)^31-1/3*E(40)^32+2/3*E(40)^37-2/3*E(40)^39	-0.070131045332	(240,480,120,20)	208+90*E(40)+90*E(40)^3+56*E(40)^5-90*E(40)^7+128*E(40)^8+90*E(40)^9-128*E(40)^12-146*E(40)^15	572.246415067246	2880	+++	8	8	5	5	f17e4e4f6b28c5e23ad309ee1edb78c05c1f3ae3697d8e8753496777a0b9dc87	91e172f8c4d4243134e2377677c87243d1699887fd6adb1a886f32870871042f	d8d8ad2e205dbf061326eca32d06ee0396c318909520dc870261070c1098afc3	f11638e131b8d33bcf6c52a4cff588c095454b6a2890140f18dda8e47cc97586	(0,1,3,8)	12	-1
L3-{5,3,5/2}-3	{5,3,5/2}	-E(40)^7+E(40)^13-E(40)^16+E(40)^21-E(40)^23-E(40)^24+E(40)^29-E(40)^31+E(40)^37-E(40)^39	0.203820426377	(240,480,120,20)	20+8*E(40)+8*E(40)^3+5*E(40)^5-8*E(40)^7+12*E(40)^8+8*E(40)^9-12*E(40)^12-13*E(40)^15	52.793440567030	2880	+++	9	9	5	5	670ca37c72fb409cc570375cfec630764a1631b3321a700a4cc8e144b6dbb1ff	60291d8ce5fc2107e64896466373fef2cebe009ad37034c280b40a576b51800d	d8d8ad2e205dbf061326eca32d06ee0396c318909520dc870261070c1098afc3	f11638e131b8d33bcf6c52a4cff588c095454b6a2890140f18dda8e47cc97586	(0,1,3,4)	12	-1
L3-{5,3,5/2}-4	{5,3,5/2}	E(40)^7-E(40)^13-E(40)^16-E(40)^21+E(40)^23-E(40)^24-E(40)^29+E(40)^31-E(40)^37+E(40)^39	3.032247551123	(240,480,120,20)	20-8*E(40)-8*E(40)^3-5*E(40)^5+8*E(40)^7+12*E(40)^8-8*E(40)^9-12*E(40)^12+13*E(40)^15	2.039375162967	2880	+++	10	10	4	4	0fe590eef5ee535fb62fb8775c3ca887f1b8e3a30f397549a3c518f2553cc476	27cc417daec2d4414b9a34eafd19e75d77032e18ed1ea162b818e3abe41342e3	1df5248fb0135b053501a8ef6fb9b1ea8cd2c47e4b689e5db20dadf7107765e8	371c29e0fe9255ebd0b698388e028ef9e9c7cce17093c86174a78a188e4e58fd	(0,1,3,4)	12	+1
L3-{5,3,5/2}-5	{5,3,5/2}	-E(40)^7+E(40)^8+E(40)^13-E(40)^23+E(40)^32+E(40)^37	1.492066037648	(48,144,48,8)	20-8*E(40)-8*E(40)^3-5*E(40)^5+8*E(40)^7+12*E(40)^8-8*E(40)^9-12*E(40)^12+13*E(40)^15	2.039375162967	1152	+++	11	11	6	6	71d7b4053f893862800e7aec0e00bb7863994cc2bf68c25bdac8a821c969af32	cb0febc000e0f3c88ccf98425ba1b6a052d51f35bb9003710501d8a16473c3bb	67ff56efc617547dafa48f0478e33d6c6bdfd6414e9e76f1b9abdbd385c9c947	40785c00114b5641decbbfcf3f187a9b8731bbbee0a90c3e87674ec10ea5b791	(0,1,3,8)	24	+1
L3-{5,3,5/2}-6	{5,3,5/2}	E(40)^7+E(40)^8-E(40)^13+E(40)^23+E(40)^32-E(40)^37	-0.255998060148	(48,144,48,8)	20+8*E(40)+8*E(40)^3+5*E(40)^5-8*E(40)^7+12*E(40)^8+8*E(40)^9-12*E(40)^12-13*E(40)^15	52.793440567030	1152	+++	12	12	7	7	50be91f4fe7ba730456eafc9825d56449a103c4ce3f4ced86dc9070ffc5cc86c	5779063e93b7cc9075b71b21657f22961afc36300ef79383f851d3e526e16fc0	295bfbbec01b2bd23a699e2e0e6450b63c9f28149a3107760be2a48ea7ee8658	a07ecf743b16039359e02d182dfa2daa25e829f403c9d73556c20435c8adbbce	(0,1,3,4)	24	+1
L3-{5,3,5/2}-7	{5,3,5/2}	-E(40)^8-2*E(40)^16+E(40)^21-2*E(40)^24+E(40)^29-E(40)^31-E(40)^32-E(40)^39	0.329788377479	(48,144,48,8)	8+3*E(40)+3*E(40)^3+E(40)^5-3*E(40)^7+4*E(40)^8+3*E(40)^9-4*E(40)^12-4*E(40)^15	18.751086351185	1152	+++	13	13	7	7	67e5367aeebb47a12bfcc8255ca18816917fd0c3395e95d555c52f76514e4f34	f17f9d263d11b4d21b6aea869be2ad0b5766e7ab7566d5e743e89255e84db13c	295bfbbec01b2bd23a699e2e0e6450b63c9f28149a3107760be2a48ea7ee8658	a07ecf743b16039359e02d182dfa2daa25e829f403c9d73556c20435c8adbbce	(0,1,3,8)	24	+1
