case_a	case_b	T_a	T_b	fvector	eq_raw_unoriented	eq_raw_oriented	eq_scalefree_unoriented	eq_scalefree_oriented	lambda	lambda_float	det_sign_M	M_verified	same_vertex_set	same_structure	n_sim_fixing_w	sim_det_signs	n_gram_compatible
L3-{4,3,3}-1	L3-{4,3,3}-2	{4,3,3}	{4,3,3}	(16,32,12,4)	no	no	no	no	1/4	0.250000000000	-	-	no	no	0	none	0
L3-{4,3,3}-1	L3-{4,3,3}-3	{4,3,3}	{4,3,3}	(16,32,12,4)	no	no	no	no	1/3	0.333333333333	-	-	no	no	0	none	0
L3-{4,3,3}-1	L3-{4,3,3}-6	{4,3,3}	{4,3,3}	(16,32,12,4)	no	no	yes	yes	4/3	1.333333333333	+1	yes	no	no	12	+	24
L3-{4,3,3}-2	L3-{4,3,3}-3	{4,3,3}	{4,3,3}	(16,32,12,4)	no	no	yes	yes	4/3	1.333333333333	+1	yes	no	no	12	+	24
L3-{4,3,3}-2	L3-{4,3,3}-6	{4,3,3}	{4,3,3}	(16,32,12,4)	no	no	no	no	16/3	5.333333333333	-	-	no	no	0	none	0
L3-{4,3,3}-3	L3-{4,3,3}-6	{4,3,3}	{4,3,3}	(16,32,12,4)	no	no	no	no	4	4.000000000000	-	-	no	no	0	none	0
L3-{5,3,3}-3	L3-{5,3,3}-8	{5,3,3}	{5,3,3}	(600,1200,120,5)	no	no	yes	yes	10-16*E(40)^8+16*E(40)^12	0.111456180002	+1	yes	no	no	12	+	24
L3-{5,3,3}-3	L3-{3,3,5/2}-1	{5,3,3}	{3,3,5/2}	(600,1200,120,5)	no	no	no	no	305/4-987/8*E(40)^8+987/8*E(40)^12	0.000056637982	-	-	no	no	0	none	0
L3-{5,3,3}-3	L3-{3,3,5/2}-4	{5,3,3}	{3,3,5/2}	(600,1200,120,5)	no	no	no	no	305/2-987/4*E(40)^8+987/4*E(40)^12	0.000113275963	-	-	no	no	0	none	0
L3-{5,3,3}-8	L3-{3,3,5/2}-1	{5,3,3}	{3,3,5/2}	(600,1200,120,5)	no	no	no	no	17/8-55/16*E(40)^8+55/16*E(40)^12	0.000508163672	-	-	no	no	0	none	0
L3-{5,3,3}-8	L3-{3,3,5/2}-4	{5,3,3}	{3,3,5/2}	(600,1200,120,5)	no	no	no	no	17/4-55/8*E(40)^8+55/8*E(40)^12	0.001016327344	-	-	no	no	0	none	0
L3-{5,3,5/2}-1	L3-{5,3,5/2}-2	{5,3,5/2}	{5,3,5/2}	(240,480,120,20)	no	no	no	no	317/3+136/3*E(40)+136/3*E(40)^3+88/3*E(40)^5-136/3*E(40)^7+64*E(40)^8+136/3*E(40)^9-64*E(40)^12-224/3*E(40)^15	290.438240820544	-	-	no	no	0	none	0
L3-{5,3,5/2}-1	L3-{5,3,5/2}-3	{5,3,5/2}	{5,3,5/2}	(240,480,120,20)	no	no	no	no	10+4*E(40)+4*E(40)^3+3*E(40)^5-4*E(40)^7+11/2*E(40)^8+4*E(40)^9-11/2*E(40)^12-7*E(40)^15	26.794810070327	-	-	no	no	0	none	0
L3-{5,3,5/2}-1	L3-{5,3,5/2}-4	{5,3,5/2}	{5,3,5/2}	(240,480,120,20)	no	no	yes	yes	2/3+1/3*E(40)^5-1/6*E(40)^8+1/6*E(40)^12-1/3*E(40)^15	1.035065522666	+1	yes	no	no	12	+	24
L3-{5,3,5/2}-2	L3-{5,3,5/2}-3	{5,3,5/2}	{5,3,5/2}	(240,480,120,20)	no	no	yes	yes	2/3-1/3*E(40)^5-1/6*E(40)^8+1/6*E(40)^12+1/3*E(40)^15	0.092256481084	+1	yes	no	no	12	+	24
L3-{5,3,5/2}-2	L3-{5,3,5/2}-4	{5,3,5/2}	{5,3,5/2}	(240,480,120,20)	no	no	no	no	10-4*E(40)-4*E(40)^3-3*E(40)^5+4*E(40)^7+11/2*E(40)^8-4*E(40)^9-11/2*E(40)^12+7*E(40)^15	0.003563805922	-	-	no	no	0	none	0
L3-{5,3,5/2}-3	L3-{5,3,5/2}-4	{5,3,5/2}	{5,3,5/2}	(240,480,120,20)	no	no	no	no	29/3-4*E(40)-4*E(40)^3-8/3*E(40)^5+4*E(40)^7+16/3*E(40)^8-4*E(40)^9-16/3*E(40)^12+20/3*E(40)^15	0.038629328588	-	-	no	no	0	none	0
L3-{5,3,5/2}-5	L3-{5,3,5/2}-6	{5,3,5/2}	{5,3,5/2}	(48,144,48,8)	no	no	no	no	29/3+4*E(40)+4*E(40)^3+8/3*E(40)^5-4*E(40)^7+16/3*E(40)^8+4*E(40)^9-16/3*E(40)^12-20/3*E(40)^15	25.887066551411	-	-	no	no	0	none	0
L3-{5,3,5/2}-5	L3-{5,3,5/2}-7	{5,3,5/2}	{5,3,5/2}	(48,144,48,8)	no	no	no	no	4+2*E(40)+2*E(40)^3-2*E(40)^7+E(40)^8+2*E(40)^9-E(40)^12-2*E(40)^15	9.194525211291	-	-	no	no	0	none	0
L3-{5,3,5/2}-5	L3-{5,3,5/2}-8	{5,3,5/2}	{5,3,5/2}	(48,144,48,8)	no	no	yes	yes	4/3-2/3*E(40)-2/3*E(40)^3+4/3*E(40)^5+2/3*E(40)^7-E(40)^8-2/3*E(40)^9+E(40)^12-2/3*E(40)^15	1.075420353567	+1	yes	no	no	24	+	48
L3-{5,3,5/2}-6	L3-{5,3,5/2}-7	{5,3,5/2}	{5,3,5/2}	(48,144,48,8)	no	no	yes	yes	4/3+2/3*E(40)+2/3*E(40)^3-4/3*E(40)^5-2/3*E(40)^7-E(40)^8+2/3*E(40)^9+E(40)^12+2/3*E(40)^15	0.355178335600	+1	yes	no	no	24	+	48
