case_a	case_b	candidate	lambda_json	lambda_exact_powerbasis	lambda_float	isometry	lambda_ok	lambda_real	M_real	MMt_ok	det_json	det_exact_powerbasis	det_sign_json	det_sign_computed	det_ok	det_matches_json	vertices_onto	edges_onto	faces_onto	cells_onto	w_maps_to_w	image_flag_orbit_json	image_flag_orbit_computed	flag_orbit_agrees	flag_image_kind	flag_image_agrees	anchor_images_agree	M_in_Gamma_b	represents_own_coset_json	triple_orientation_json	all_ok
L3-{4,3,3}-1	L3-{4,3,3}-1	even	1	1	1.000000	True	True	True	True	True	1	1	1	1	True	True	True	True	True	True	True	even	even	True	base_flag	True	True	True	True	same	True
L3-{4,3,3}-1	L3-{4,3,3}-1	odd	1	1	1.000000	True	True	True	True	True	1	1	1	1	True	True	True	True	True	True	True	even	even	True	2-adjacent_other_cell	True	True	True	False	same	True
L3-{4,3,3}-6	L3-{4,3,3}-1	even	3/4	3/4	0.750000	False	True	True	True	True	9/16	9/16	1	1	True	True	True	True	True	True	True	odd	odd	True	base_flag_other_cell	True	True	n/a	False	mirror	True
L3-{4,3,3}-6	L3-{4,3,3}-1	odd	3/4	3/4	0.750000	False	True	True	True	True	9/16	9/16	1	1	True	True	True	True	True	True	True	odd	odd	True	2-adjacent(w,e,fS2,c)	True	True	n/a	True	mirror	True
L3-{4,3,3}-2	L3-{4,3,3}-2	even	1	1	1.000000	True	True	True	True	True	1	1	1	1	True	True	True	True	True	True	True	even	even	True	base_flag	True	True	True	True	same	True
L3-{4,3,3}-2	L3-{4,3,3}-2	odd	1	1	1.000000	True	True	True	True	True	1	1	1	1	True	True	True	True	True	True	True	even	even	True	2-adjacent_other_cell	True	True	True	False	same	True
L3-{4,3,3}-3	L3-{4,3,3}-2	even	3/4	3/4	0.750000	False	True	True	True	True	9/16	9/16	1	1	True	True	True	True	True	True	True	odd	odd	True	base_flag_other_cell	True	True	n/a	False	mirror	True
L3-{4,3,3}-3	L3-{4,3,3}-2	odd	3/4	3/4	0.750000	False	True	True	True	True	9/16	9/16	1	1	True	True	True	True	True	True	True	odd	odd	True	2-adjacent(w,e,fS2,c)	True	True	n/a	True	mirror	True
L3-{4,3,3}-2	L3-{4,3,3}-3	even	4/3	4/3	1.333333	False	True	True	True	True	16/9	16/9	1	1	True	True	True	True	True	True	True	odd	odd	True	base_flag_other_cell	True	True	n/a	False	mirror	True
L3-{4,3,3}-2	L3-{4,3,3}-3	odd	4/3	4/3	1.333333	False	True	True	True	True	16/9	16/9	1	1	True	True	True	True	True	True	True	odd	odd	True	2-adjacent(w,e,fS2,c)	True	True	n/a	True	mirror	True
L3-{4,3,3}-3	L3-{4,3,3}-3	even	1	1	1.000000	True	True	True	True	True	1	1	1	1	True	True	True	True	True	True	True	even	even	True	base_flag	True	True	True	True	same	True
L3-{4,3,3}-3	L3-{4,3,3}-3	odd	1	1	1.000000	True	True	True	True	True	1	1	1	1	True	True	True	True	True	True	True	even	even	True	2-adjacent_other_cell	True	True	True	False	same	True
L3-{4,3,3}-1	L3-{4,3,3}-6	even	4/3	4/3	1.333333	False	True	True	True	True	16/9	16/9	1	1	True	True	True	True	True	True	True	odd	odd	True	base_flag_other_cell	True	True	n/a	False	mirror	True
L3-{4,3,3}-1	L3-{4,3,3}-6	odd	4/3	4/3	1.333333	False	True	True	True	True	16/9	16/9	1	1	True	True	True	True	True	True	True	odd	odd	True	2-adjacent(w,e,fS2,c)	True	True	n/a	True	mirror	True
L3-{4,3,3}-6	L3-{4,3,3}-6	even	1	1	1.000000	True	True	True	True	True	1	1	1	1	True	True	True	True	True	True	True	even	even	True	base_flag	True	True	True	True	same	True
L3-{4,3,3}-6	L3-{4,3,3}-6	odd	1	1	1.000000	True	True	True	True	True	1	1	1	1	True	True	True	True	True	True	True	even	even	True	2-adjacent_other_cell	True	True	True	False	same	True
L3-{5,3,3}-3	L3-{5,3,3}-3	even	1	1	1.000000	True	True	True	True	True	1	1	1	1	True	True	True	True	True	True	True	even	even	True	base_flag	True	True	True	True	same	True
L3-{5,3,3}-3	L3-{5,3,3}-3	odd	1	1	1.000000	True	True	True	True	True	1	1	1	1	True	True	True	True	True	True	True	even	even	True	2-adjacent_other_cell	True	True	True	False	same	True
L3-{5,3,3}-8	L3-{5,3,3}-3	even	-5/2*E(5)-13/2*E(5)^2-13/2*E(5)^3-5/2*E(5)^4	13/2+4*E(40)^8-4*E(40)^12	8.972136	False	True	True	True	True	-89/4*E(5)-233/4*E(5)^2-233/4*E(5)^3-89/4*E(5)^4	233/4+36*E(40)^8-36*E(40)^12	1	1	True	True	True	True	True	True	True	odd	odd	True	base_flag_other_cell	True	True	n/a	False	mirror	True
L3-{5,3,3}-8	L3-{5,3,3}-3	odd	-5/2*E(5)-13/2*E(5)^2-13/2*E(5)^3-5/2*E(5)^4	13/2+4*E(40)^8-4*E(40)^12	8.972136	False	True	True	True	True	-89/4*E(5)-233/4*E(5)^2-233/4*E(5)^3-89/4*E(5)^4	233/4+36*E(40)^8-36*E(40)^12	1	1	True	True	True	True	True	True	True	odd	odd	True	2-adjacent(w,e,fS2,c)	True	True	n/a	True	mirror	True
L3-{5,3,3}-3	L3-{5,3,3}-8	even	-26*E(5)-10*E(5)^2-10*E(5)^3-26*E(5)^4	10-16*E(40)^8+16*E(40)^12	0.111456	False	True	True	True	True	-932*E(5)-356*E(5)^2-356*E(5)^3-932*E(5)^4	356-576*E(40)^8+576*E(40)^12	1	1	True	True	True	True	True	True	True	odd	odd	True	base_flag_other_cell	True	True	n/a	False	mirror	True
L3-{5,3,3}-3	L3-{5,3,3}-8	odd	-26*E(5)-10*E(5)^2-10*E(5)^3-26*E(5)^4	10-16*E(40)^8+16*E(40)^12	0.111456	False	True	True	True	True	-932*E(5)-356*E(5)^2-356*E(5)^3-932*E(5)^4	356-576*E(40)^8+576*E(40)^12	1	1	True	True	True	True	True	True	True	odd	odd	True	2-adjacent(w,e,fS2,c)	True	True	n/a	True	mirror	True
L3-{5,3,3}-8	L3-{5,3,3}-8	even	1	1	1.000000	True	True	True	True	True	1	1	1	1	True	True	True	True	True	True	True	even	even	True	base_flag	True	True	True	True	same	True
L3-{5,3,3}-8	L3-{5,3,3}-8	odd	1	1	1.000000	True	True	True	True	True	1	1	1	1	True	True	True	True	True	True	True	even	even	True	2-adjacent_other_cell	True	True	True	False	same	True
