row	T	q	m_target	k	t_exact	t_float	alpha_float	X_order	tr_X	vf_orbit_finite	vf_group_order	vf_structure	gamma_finite	gamma_order	relations	ip	defect	fvec_coset	fvec_geom	directly_regular	faithful	skeletal	geom_chiral	verdict
1	{3,3,3}	3	2	1	1/4	0.25	0.5	2	1	true	fail	-	-	-	-	-	-	-	-	-	-	-	-	REJECTED: ord(X) < 3 (degenerate)
1	{3,3,3}	3	2	1	-1/4	-0.25	infinity	2	1	true	6	S3	-	-	-	-	-	-	-	-	-	-	-	REJECTED: ord(X) < 3 (degenerate)
1	{3,3,3}	3	3	1	0	0.	1.	3	2	true	12	A4	true	60	true	false	4	[ 5, 10, 6, 1 ]	-	false	-	-	-	REJECTED: intersection condition fails (defect 4)
1	{3,3,3}	3	3	1	1/2*E(5)+1/4*E(5)^2+1/4*E(5)^3+1/2*E(5)^4	-0.095491502812526358	1.6180339887498949	3	2	true	12	A4	true	7200	true	true	1	[ 600, 1200, 720, 120 ]	[ 120, 1200, 720, 120 ]	true	false	false	false	REJECTED: abstract polytope but realisation not a faithful skeletal 4-polytope
1	{3,3,3}	3	3	1	1/4*E(5)+1/2*E(5)^2+1/2*E(5)^3+1/4*E(5)^4	-0.65450849718747373	-0.61803398874989468	3	2	true	12	A4	true	7200	true	true	1	[ 600, 1200, 720, 120 ]	[ 120, 1200, 720, 120 ]	true	false	false	false	REJECTED: abstract polytope but realisation not a faithful skeletal 4-polytope
1	{3,3,3}	3	inf	-	infinity	infinity	0.	3	2	true	12	A4	true	60	true	false	4	[ 5, 10, 6, 1 ]	-	false	-	-	-	REJECTED: intersection condition fails (defect 4)
2	{4,3,3}	3	2	1	-1/2*E(12)^4+1/2*E(12)^7-1/2*E(12)^8-1/2*E(12)^11	-0.36602540378443826	3.7320508075688772	2	0	true	6	S3	-	-	-	-	-	-	-	-	-	-	-	REJECTED: ord(X) < 3 (degenerate)
2	{4,3,3}	3	2	1	-1/2*E(12)^4-1/2*E(12)^7-1/2*E(12)^8+1/2*E(12)^11	1.3660254037844384	0.2679491924311237	2	0	true	6	S3	-	-	-	-	-	-	-	-	-	-	-	REJECTED: ord(X) < 3 (degenerate)
2	{4,3,3}	3	3	1	1/2	0.5	0.5	3	1	true	12	A4	true	192	true	true	1	[ 16, 32, 12, 4 ]	[ 16, 32, 12, 4 ]	false	true	true	true	SURVIVOR: faithful skeletal 4-polytope, geometrically chiral (2-face spans E^4), combinatorially chiral
2	{4,3,3}	3	3	1	-1/4	-0.25	2.	3	1	true	12	A4	true	192	true	true	1	[ 16, 32, 12, 4 ]	[ 16, 32, 12, 4 ]	false	true	true	true	SURVIVOR: faithful skeletal 4-polytope, geometrically chiral (2-face spans E^4), combinatorially chiral
2	{4,3,3}	3	3	1	-1/2	-0.5	infinity	3	1	true	12	A4	true	192	true	true	1	[ 16, 32, 12, 4 ]	[ 16, 32, 12, 4 ]	false	true	true	true	SURVIVOR: faithful skeletal 4-polytope, geometrically chiral (2-face spans E^4), combinatorially chiral
2	{4,3,3}	3	4	1	0	0.	1.	4	2	true	24	S4	true	192	true	false	2	[ 8, 24, 12, 4 ]	-	false	-	-	-	REJECTED: intersection condition fails (defect 2)
2	{4,3,3}	3	4	1	-1	-1.	-1.	4	2	true	24	S4	true	192	true	false	2	[ 8, 24, 12, 4 ]	-	false	-	-	-	REJECTED: intersection condition fails (defect 2)
2	{4,3,3}	3	inf	-	infinity	infinity	0.	3	1	true	12	A4	true	192	true	true	1	[ 16, 32, 12, 4 ]	[ 16, 32, 12, 4 ]	false	true	true	true	SURVIVOR: faithful skeletal 4-polytope, geometrically chiral (2-face spans E^4), combinatorially chiral
3	{3,4,3}	4	2	1	1/2*E(8)-1/2*E(8)^3	0.70710678118654746	0.5	2	0	true	8	D8	-	-	-	-	-	-	-	-	-	-	-	REJECTED: ord(X) < 3 (degenerate)
3	{3,4,3}	4	2	1	-1/2*E(8)+1/2*E(8)^3	-0.70710678118654746	infinity	2	0	true	8	D8	-	-	-	-	-	-	-	-	-	-	-	REJECTED: ord(X) < 3 (degenerate)
3	{3,4,3}	4	3	1	0	0.	1.	3	1	true	24	S4	true	576	true	false	2	[ 24, 96, 24, 3 ]	-	false	-	-	-	REJECTED: intersection condition fails (defect 2)
3	{3,4,3}	4	3	1	-1/2	-0.5	3.4142135623730949	3	1	true	24	S4	true	576	true	false	2	[ 24, 96, 24, 3 ]	-	false	-	-	-	REJECTED: intersection condition fails (defect 2)
3	{3,4,3}	4	3	1	-1	-1.	-2.4142135623730949	3	1	true	24	S4	true	576	true	false	2	[ 24, 96, 24, 3 ]	-	false	-	-	-	REJECTED: intersection condition fails (defect 2)
3	{3,4,3}	4	inf	-	infinity	infinity	0.	3	1	true	24	S4	true	576	true	false	2	[ 24, 96, 24, 3 ]	-	false	-	-	-	REJECTED: intersection condition fails (defect 2)
4	{5,3,3}	3	2	1	1/2*E(40)^7-1/2*E(40)^8-1/2*E(40)^13-3/2*E(40)^16-3/2*E(40)^21+1/2*E(40)^23-3/2*E(40)^24-3/2*E(40)^29+3/2*E(40)^31-1/2*E(40)^32-1/2*E(40)^37+3/2*E(40)^39	5.1133863812071798	0.15327282884151594	2	0	true	6	S3	-	-	-	-	-	-	-	-	-	-	-	REJECTED: ord(X) < 3 (degenerate)
4	{5,3,3}	3	2	1	-1/2*E(40)^7-1/2*E(40)^8+1/2*E(40)^13-3/2*E(40)^16+3/2*E(40)^21-1/2*E(40)^23-3/2*E(40)^24+3/2*E(40)^29-3/2*E(40)^31-1/2*E(40)^32+1/2*E(40)^37-3/2*E(40)^39	-0.87731840370738956	19.165299913557977	2	0	true	6	S3	-	-	-	-	-	-	-	-	-	-	-	REJECTED: ord(X) < 3 (degenerate)
4	{5,3,3}	3	3	1	3/10*E(5)+7/10*E(5)^2+7/10*E(5)^3+3/10*E(5)^4	-0.94721359549995787	-42.854913415886486	3	1	true	12	A4	true	7200	true	true	1	[ 600, 1200, 120, 5 ]	[ 120, 1200, 120, 5 ]	false	false	false	false	REJECTED: abstract polytope but realisation not a faithful skeletal 4-polytope
4	{5,3,3}	3	3	1	1/2*E(5)^2+1/2*E(5)^3	-0.80901699437494745	7.9385271511436217	3	1	true	12	A4	true	7200	true	true	1	[ 600, 1200, 120, 5 ]	[ 120, 1200, 120, 5 ]	false	false	false	false	REJECTED: abstract polytope but realisation not a faithful skeletal 4-polytope
4	{5,3,3}	3	3	1	-1/2*E(5)-3/2*E(5)^2-3/2*E(5)^3-1/2*E(5)^4	2.1180339887498945	0.3041135359756636	3	1	true	12	A4	true	7200	true	true	1	[ 600, 1200, 120, 5 ]	[ 600, 1200, 120, 5 ]	false	true	true	true	SURVIVOR: faithful skeletal 4-polytope, geometrically chiral (2-face spans E^4), combinatorially chiral
4	{5,3,3}	3	5	1	0	0.	1.	5	-E(5)-2*E(5)^2-2*E(5)^3-E(5)^4	true	60	A5	true	7200	true	false	4	[ 120, 720, 120, 5 ]	-	false	-	-	-	REJECTED: intersection condition fails (defect 4)
