case_id	T	alpha	facet	facet_group_order	gamma_order	S3	orders	string_relations	intersection_condition	ip_defect	fvector	directly_regular	faithful	skeletal_polytope	geometrically_chiral	combinatorially_chiral	classification	note
C11	{3,3,3}	0	H_0({3,3,3})	60	60	R3R2 (canonical)	[ 5, 3, 3 ]	true	false	4	-	-	-	-	-	-	PROVED-OBSTRUCTION-CANONICAL	intersection condition fails: |<S1,S2> cap <S2,S3> : <S2>| = 4 = vertex-collapse multiplicity of H_0({3,3,3}) (table: 4)
C12	{3,3,3}*	0	H_0({3,3,3}*)	60	60	R3R2 (canonical)	[ 5, 3, 3 ]	true	false	4	-	-	-	-	-	-	PROVED-OBSTRUCTION-CANONICAL	intersection condition fails: |<S1,S2> cap <S2,S3> : <S2>| = 4 = vertex-collapse multiplicity of H_0({3,3,3}*) (table: 4); self-dual T, same as the alpha=0 endpoint
C21	{4,3,3}	0	H_0({4,3,3})	48	192	R3R2 (canonical)	[ 8, 3, 3 ]	true	true	1	[ 16, 32, 12, 4 ]	false	true	true	true	true	KNOWN-CONSTRUCTION	KNOWN-CONSTRUCTION: Roli's cube (Bracho-Hubard-Pellicer 2014), type {8,3,3}
C22	{3,3,4}	0	H_0({3,3,4})	48	192	R3R2 (canonical)	[ 8, 3, 4 ]	true	false	2	-	-	-	-	-	-	PROVED-OBSTRUCTION-CANONICAL	intersection condition fails: |<S1,S2> cap <S2,S3> : <S2>| = 2 = vertex-collapse multiplicity of H_0({3,3,4}) (table: 2)
C31	{3,4,3}	0	H_0({3,4,3})	192	576	R3R2 (canonical)	[ 12, 4, 3 ]	true	false	2	-	-	-	-	-	-	PROVED-OBSTRUCTION-CANONICAL	intersection condition fails: |<S1,S2> cap <S2,S3> : <S2>| = 2 = vertex-collapse multiplicity of H_0({3,4,3}) (table: 2)
C32	{3,4,3}*	0	H_0({3,4,3}*)	192	576	R3R2 (canonical)	[ 12, 4, 3 ]	true	false	2	-	-	-	-	-	-	PROVED-OBSTRUCTION-CANONICAL	intersection condition fails: |<S1,S2> cap <S2,S3> : <S2>| = 2 = vertex-collapse multiplicity of H_0({3,4,3}*) (table: 2); self-dual T, same as the alpha=0 endpoint
C41	{5,3,3}	0	H_0({5,3,3})	1440	7200	R3R2 (canonical)	[ 30, 3, 3 ]	true	true	1	[ 600, 1200, 120, 5 ]	false	true	true	true	true	PROVED-CONSTRUCTION	new candidate from the canonical extension; see RESULT.md for novelty status
C42	{3,3,5}	0	H_0({3,3,5})	1440	7200	R3R2 (canonical)	[ 30, 3, 5 ]	true	false	4	-	-	-	-	-	-	PROVED-OBSTRUCTION-CANONICAL	intersection condition fails: |<S1,S2> cap <S2,S3> : <S2>| = 4 = vertex-collapse multiplicity of H_0({3,3,5}) (table: 4)
C51	{3,5,5/2}	0	H_0({3,5,5/2})	1200	7200	R3R2 (canonical)	[ 20, 5, 5 ]	true	false	2	-	-	-	-	-	-	PROVED-OBSTRUCTION-CANONICAL	intersection condition fails: |<S1,S2> cap <S2,S3> : <S2>| = 2 = vertex-collapse multiplicity of H_0({3,5,5/2}) (table: 2)
C52	{5/2,5,3}	0	H_0({5/2,5,3})	1200	7200	R3R2 (canonical)	[ 20, 5, 3 ]	true	false	2	-	-	-	-	-	-	PROVED-OBSTRUCTION-CANONICAL	intersection condition fails: |<S1,S2> cap <S2,S3> : <S2>| = 2 = vertex-collapse multiplicity of H_0({5/2,5,3}) (table: 2)
C61	{5,5/2,5}	0	H_0({5,5/2,5})	7200	7200	R3R2 (canonical)	[ 15, 5, 5 ]	true	false	12	-	-	-	-	-	-	PROVED-OBSTRUCTION-CANONICAL	intersection condition fails: |<S1,S2> cap <S2,S3> : <S2>| = 12 = vertex-collapse multiplicity of H_0({5,5/2,5}) (table: 12)
C62	{5,5/2,5}*	0	H_0({5,5/2,5}*)	7200	7200	R3R2 (canonical)	[ 15, 5, 5 ]	true	false	12	-	-	-	-	-	-	PROVED-OBSTRUCTION-CANONICAL	intersection condition fails: |<S1,S2> cap <S2,S3> : <S2>| = 12 = vertex-collapse multiplicity of H_0({5,5/2,5}*) (table: 12); self-dual T, same as the alpha=0 endpoint
C71	{5,3,5/2}	0	H_0({5,3,5/2})	144	7200	R3R2 (canonical)	[ 12, 3, 5 ]	true	true	1	[ 120, 720, 300, 50 ]	false	true	true	true	true	KNOWN-CONSTRUCTION	KNOWN-CONSTRUCTION: thesis {12/(1,5),3,5/2}, facets H_0({5,3,5/2})
C72	{5/2,3,5}	0	H_0({5/2,3,5})	144	7200	R3R2 (canonical)	[ 12, 3, 5 ]	true	true	1	[ 120, 720, 300, 50 ]	false	true	true	true	true	KNOWN-CONSTRUCTION	KNOWN-CONSTRUCTION: thesis {12/(1,5),3,5}, facets H_1({5,3,5/2}) = H_0({5/2,3,5})
C81	{3,3,5/2}	0	H_0({3,3,5/2})	1440	7200	R3R2 (canonical)	[ 30, 3, 5 ]	true	false	4	-	-	-	-	-	-	PROVED-OBSTRUCTION-CANONICAL	intersection condition fails: |<S1,S2> cap <S2,S3> : <S2>| = 4 = vertex-collapse multiplicity of H_0({3,3,5/2}) (table: 4)
C82	{5/2,3,3}	0	H_0({5/2,3,3})	1440	7200	R3R2 (canonical)	[ 30, 3, 3 ]	true	true	1	[ 600, 1200, 120, 5 ]	false	true	true	true	true	PROVED-CONSTRUCTION	new candidate from the canonical extension; see RESULT.md for novelty status
C91	{3,5/2,5}	0	H_0({3,5/2,5})	1200	7200	R3R2 (canonical)	[ 20, 5, 5 ]	true	false	2	-	-	-	-	-	-	PROVED-OBSTRUCTION-CANONICAL	intersection condition fails: |<S1,S2> cap <S2,S3> : <S2>| = 2 = vertex-collapse multiplicity of H_0({3,5/2,5}) (table: 2)
C92	{5,5/2,3}	0	H_0({5,5/2,3})	1200	7200	R3R2 (canonical)	[ 20, 5, 3 ]	true	false	2	-	-	-	-	-	-	PROVED-OBSTRUCTION-CANONICAL	intersection condition fails: |<S1,S2> cap <S2,S3> : <S2>| = 2 = vertex-collapse multiplicity of H_0({5,5/2,3}) (table: 2)
C101	{5/2,5,5/2}	0	H_0({5/2,5,5/2})	7200	7200	R3R2 (canonical)	[ 15, 5, 5 ]	true	false	12	-	-	-	-	-	-	PROVED-OBSTRUCTION-CANONICAL	intersection condition fails: |<S1,S2> cap <S2,S3> : <S2>| = 12 = vertex-collapse multiplicity of H_0({5/2,5,5/2}) (table: 12)
C102	{5/2,5,5/2}*	0	H_0({5/2,5,5/2}*)	7200	7200	R3R2 (canonical)	[ 15, 5, 5 ]	true	false	12	-	-	-	-	-	-	PROVED-OBSTRUCTION-CANONICAL	intersection condition fails: |<S1,S2> cap <S2,S3> : <S2>| = 12 = vertex-collapse multiplicity of H_0({5/2,5,5/2}*) (table: 12); self-dual T, same as the alpha=0 endpoint
