case	source	T	alpha_exact	alpha_numeric	type	fvector	gamma_order	vf_group	facet_fvector	facet_geometrically_regular	directly_regular	geometrically_chiral	twist	invariant_key
C-{4,3,3}	canonical	{4,3,3}	0	0.	[ 8, 3, 3 ]	[ 16, 32, 12, 4 ]	192	12	[ 16, 24, 6 ]	false	false	true	[ [ 1, 3 ] ]	[ [ 4, 8, 8, 2, 6, 8 ], [ 8, 4, 4, 2, 3, 4 ] ]
C-{5,3,3}	canonical	{5,3,3}	0	0.	[ 30, 3, 3 ]	[ 600, 1200, 120, 5 ]	7200	12	[ 480, 720, 48 ]	false	false	true	[ [ 1, 11 ] ]	[ [ 5, 30, 30, 2, 20, 30 ], [ 30, 5, 5, 2, 5, 5 ] ]
C-{5,3,5/2}	canonical	{5,3,5/2}	0	0.	[ 12, 3, 5 ]	[ 120, 720, 300, 50 ]	7200	60	[ 48, 72, 12 ]	false	false	true	[ [ 1, 5 ] ]	[ [ 5, 15, 15, 2, 15, 12 ], [ 15, 5, 5, 2, 10, 15 ] ]
C-{5/2,3,5}	canonical	{5/2,3,5}	0	0.	[ 12, 3, 5 ]	[ 120, 720, 300, 50 ]	7200	60	[ 48, 72, 12 ]	false	false	true	[ [ 1, 5 ] ]	[ [ 5, 15, 15, 2, 15, 12 ], [ 15, 5, 5, 2, 10, 15 ] ]
C-{5/2,3,3}	canonical	{5/2,3,3}	0	0.	[ 30, 3, 3 ]	[ 600, 1200, 120, 5 ]	7200	12	[ 480, 720, 48 ]	false	false	true	[ [ 7, 13 ] ]	[ [ 5, 30, 30, 2, 20, 30 ], [ 30, 5, 5, 2, 5, 5 ] ]
P-W-{4,3,3}-1	W(T)	{4,3,3}	0	0.	[ 8, 3, 3 ]	[ 16, 32, 12, 4 ]	192	12	[ 16, 24, 6 ]	false	false	true	[ [ 1, 3 ] ]	[ [ 4, 8, 8, 2, 6, 8 ], [ 8, 4, 4, 2, 3, 4 ] ]
P-W-{4,3,3}-2	W(T)	{4,3,3}	infinity	-	[ 8, 3, 3 ]	[ 16, 32, 12, 4 ]	192	12	[ 16, 24, 6 ]	false	false	true	[ [ 1, 3 ] ]	[ [ 4, 8, 8, 2, 6, 8 ], [ 8, 4, 4, 2, 3, 4 ] ]
P-W-{3,3,4}-1	W(T)	{3,3,4}	1	1.	[ 8, 3, 3 ]	[ 16, 32, 12, 4 ]	192	12	[ 16, 24, 6 ]	false	false	true	[ [ 1, 3 ] ]	[ [ 4, 8, 8, 2, 6, 8 ], [ 8, 4, 4, 2, 3, 4 ] ]
P-W-{3,3,4}-2	W(T)	{3,3,4}	infinity	-	[ 8, 3, 3 ]	[ 16, 32, 12, 4 ]	192	12	[ 16, 24, 6 ]	false	false	true	[ [ 1, 3 ] ]	[ [ 4, 8, 8, 2, 6, 8 ], [ 8, 4, 4, 2, 3, 4 ] ]
P-W-{5,3,3}-1	W(T)	{5,3,3}	0	0.	[ 30, 3, 3 ]	[ 600, 1200, 120, 5 ]	7200	12	[ 480, 720, 48 ]	false	false	true	[ [ 1, 11 ] ]	[ [ 5, 30, 30, 2, 20, 30 ], [ 30, 5, 5, 2, 5, 5 ] ]
P-W-{3,3,5}-1	W(T)	{3,3,5}	1	1.	[ 30, 3, 3 ]	[ 600, 1200, 120, 5 ]	7200	12	[ 480, 720, 48 ]	false	false	true	[ [ 1, 11 ] ]	[ [ 5, 30, 30, 2, 20, 30 ], [ 30, 5, 5, 2, 5, 5 ] ]
P-W-{5,3,5/2}-1	W(T)	{5,3,5/2}	0	0.	[ 12, 3, 5 ]	[ 120, 720, 300, 50 ]	7200	60	[ 48, 72, 12 ]	false	false	true	[ [ 1, 5 ] ]	[ [ 5, 15, 15, 2, 15, 12 ], [ 15, 5, 5, 2, 10, 15 ] ]
P-W-{5,3,5/2}-2	W(T)	{5,3,5/2}	1	1.	[ 12, 3, 5 ]	[ 120, 720, 300, 50 ]	7200	60	[ 48, 72, 12 ]	false	false	true	[ [ 1, 5 ] ]	[ [ 5, 15, 15, 2, 15, 12 ], [ 15, 5, 5, 2, 10, 15 ] ]
P-W-{5/2,3,5}-1	W(T)	{5/2,3,5}	0	0.	[ 12, 3, 5 ]	[ 120, 720, 300, 50 ]	7200	60	[ 48, 72, 12 ]	false	false	true	[ [ 1, 5 ] ]	[ [ 5, 15, 15, 2, 15, 12 ], [ 15, 5, 5, 2, 10, 15 ] ]
P-W-{5/2,3,5}-2	W(T)	{5/2,3,5}	1	1.	[ 12, 3, 5 ]	[ 120, 720, 300, 50 ]	7200	60	[ 48, 72, 12 ]	false	false	true	[ [ 1, 5 ] ]	[ [ 5, 15, 15, 2, 15, 12 ], [ 15, 5, 5, 2, 10, 15 ] ]
P-W-{3,3,5/2}-1	W(T)	{3,3,5/2}	1	1.	[ 30, 3, 3 ]	[ 600, 1200, 120, 5 ]	7200	12	[ 480, 720, 48 ]	false	false	true	[ [ 7, 13 ] ]	[ [ 5, 30, 30, 2, 20, 30 ], [ 30, 5, 5, 2, 5, 5 ] ]
P-W-{5/2,3,3}-1	W(T)	{5/2,3,3}	0	0.	[ 30, 3, 3 ]	[ 600, 1200, 120, 5 ]	7200	12	[ 480, 720, 48 ]	false	false	true	[ [ 7, 13 ] ]	[ [ 5, 30, 30, 2, 20, 30 ], [ 30, 5, 5, 2, 5, 5 ] ]
P-F4-{4,3,3}-1	[3,4,3]	{4,3,3}	0	0.	[ 8, 3, 3 ]	[ 16, 32, 12, 4 ]	192	12	[ 16, 24, 6 ]	false	false	true	[ [ 1, 3 ] ]	[ [ 4, 8, 8, 2, 6, 8 ], [ 8, 4, 4, 2, 3, 4 ] ]
P-F4-{4,3,3}-2	[3,4,3]	{4,3,3}	infinity	-	[ 8, 3, 3 ]	[ 16, 32, 12, 4 ]	192	12	[ 16, 24, 6 ]	false	false	true	[ [ 1, 3 ] ]	[ [ 4, 8, 8, 2, 6, 8 ], [ 8, 4, 4, 2, 3, 4 ] ]
P-FF4-{4,3,3}-1	[[3,4,3]]	{4,3,3}	0	0.	[ 8, 3, 3 ]	[ 16, 32, 12, 4 ]	192	12	[ 16, 24, 6 ]	false	false	true	[ [ 1, 3 ] ]	[ [ 4, 8, 8, 2, 6, 8 ], [ 8, 4, 4, 2, 3, 4 ] ]
P-FF4-{4,3,3}-2	[[3,4,3]]	{4,3,3}	infinity	-	[ 8, 3, 3 ]	[ 16, 32, 12, 4 ]	192	12	[ 16, 24, 6 ]	false	false	true	[ [ 1, 3 ] ]	[ [ 4, 8, 8, 2, 6, 8 ], [ 8, 4, 4, 2, 3, 4 ] ]
P-F4-{3,3,4}-1	[3,4,3]	{3,3,4}	1	1.	[ 8, 3, 3 ]	[ 16, 32, 12, 4 ]	192	12	[ 16, 24, 6 ]	false	false	true	[ [ 1, 3 ] ]	[ [ 4, 8, 8, 2, 6, 8 ], [ 8, 4, 4, 2, 3, 4 ] ]
P-F4-{3,3,4}-2	[3,4,3]	{3,3,4}	infinity	-	[ 8, 3, 3 ]	[ 16, 32, 12, 4 ]	192	12	[ 16, 24, 6 ]	false	false	true	[ [ 1, 3 ] ]	[ [ 4, 8, 8, 2, 6, 8 ], [ 8, 4, 4, 2, 3, 4 ] ]
P-FF4-{3,3,4}-1	[[3,4,3]]	{3,3,4}	1	1.	[ 8, 3, 3 ]	[ 16, 32, 12, 4 ]	192	12	[ 16, 24, 6 ]	false	false	true	[ [ 1, 3 ] ]	[ [ 4, 8, 8, 2, 6, 8 ], [ 8, 4, 4, 2, 3, 4 ] ]
P-FF4-{3,3,4}-2	[[3,4,3]]	{3,3,4}	infinity	-	[ 8, 3, 3 ]	[ 16, 32, 12, 4 ]	192	12	[ 16, 24, 6 ]	false	false	true	[ [ 1, 3 ] ]	[ [ 4, 8, 8, 2, 6, 8 ], [ 8, 4, 4, 2, 3, 4 ] ]
L3-{4,3,3}-1	O(4) (Level 3)	{4,3,3}	1/2	0.5	[ 8, 3, 3 ]	[ 16, 32, 12, 4 ]	192	12	[ 16, 24, 6 ]	false	false	true	[ [ 1, 3 ] ]	[ [ 4, 8, 8, 2, 6, 8 ], [ 8, 4, 4, 2, 3, 4 ] ]
L3-{4,3,3}-2	O(4) (Level 3)	{4,3,3}	2	2.	[ 8, 3, 3 ]	[ 16, 32, 12, 4 ]	192	12	[ 16, 24, 6 ]	false	false	true	[ [ 1, 3 ] ]	[ [ 4, 8, 8, 2, 6, 8 ], [ 8, 4, 4, 2, 3, 4 ] ]
L3-{4,3,3}-3	O(4) (Level 3)	{4,3,3}	infinity	-	[ 8, 3, 3 ]	[ 16, 32, 12, 4 ]	192	12	[ 16, 24, 6 ]	false	false	true	[ [ 1, 3 ] ]	[ [ 4, 8, 8, 2, 6, 8 ], [ 8, 4, 4, 2, 3, 4 ] ]
L3-{4,3,3}-6	O(4) (Level 3)	{4,3,3}	0	0.	[ 8, 3, 3 ]	[ 16, 32, 12, 4 ]	192	12	[ 16, 24, 6 ]	false	false	true	[ [ 1, 3 ] ]	[ [ 4, 8, 8, 2, 6, 8 ], [ 8, 4, 4, 2, 3, 4 ] ]
L3-{5,3,3}-3	O(4) (Level 3)	{5,3,3}	2*E(40)^7-3*E(40)^8-2*E(40)^13-E(40)^16-E(40)^21+2*E(40)^23-E(40)^24-E(40)^29+E(40)^31-3*E(40)^32-2*E(40)^37+E(40)^39	0.3041135359756636	[ 30, 3, 3 ]	[ 600, 1200, 120, 5 ]	7200	12	[ 480, 720, 48 ]	false	false	true	[ [ 1, 11 ] ]	[ [ 5, 30, 30, 2, 20, 30 ], [ 30, 5, 5, 2, 5, 5 ] ]
L3-{5,3,3}-8	O(4) (Level 3)	{5,3,3}	0	0.	[ 30, 3, 3 ]	[ 600, 1200, 120, 5 ]	7200	12	[ 480, 720, 48 ]	false	false	true	[ [ 1, 11 ] ]	[ [ 5, 30, 30, 2, 20, 30 ], [ 30, 5, 5, 2, 5, 5 ] ]
L3-{5,3,5/2}-1	O(4) (Level 3)	{5,3,5/2}	2/3*E(40)^7-1/3*E(40)^8-2/3*E(40)^13-2/3*E(40)^16-2/3*E(40)^21+2/3*E(40)^23-2/3*E(40)^24-2/3*E(40)^29+2/3*E(40)^31-1/3*E(40)^32-2/3*E(40)^37+2/3*E(40)^39	1.8154870378320278	[ 12, 3, 3 ]	[ 240, 480, 120, 20 ]	2880	12	[ 48, 72, 12 ]	false	true	true	[ [ 1, 5 ] ]	[ [ 40, 40, 40, 2, 15, 40 ] ]
L3-{5,3,5/2}-2	O(4) (Level 3)	{5,3,5/2}	-2/3*E(40)^7-1/3*E(40)^8+2/3*E(40)^13-2/3*E(40)^16+2/3*E(40)^21-2/3*E(40)^23-2/3*E(40)^24+2/3*E(40)^29-2/3*E(40)^31-1/3*E(40)^32+2/3*E(40)^37-2/3*E(40)^39	-0.07013104533209813	[ 12, 3, 3 ]	[ 240, 480, 120, 20 ]	2880	12	[ 48, 72, 12 ]	false	true	true	[ [ 1, 5 ] ]	[ [ 40, 40, 40, 2, 15, 40 ] ]
L3-{5,3,5/2}-3	O(4) (Level 3)	{5,3,5/2}	-E(40)^7+E(40)^13-E(40)^16+E(40)^21-E(40)^23-E(40)^24+E(40)^29-E(40)^31+E(40)^37-E(40)^39	0.20382042637679987	[ 12, 3, 3 ]	[ 240, 480, 120, 20 ]	2880	12	[ 48, 72, 12 ]	false	true	true	[ [ 1, 5 ] ]	[ [ 40, 40, 40, 2, 15, 40 ] ]
L3-{5,3,5/2}-4	O(4) (Level 3)	{5,3,5/2}	E(40)^7-E(40)^13-E(40)^16-E(40)^21+E(40)^23-E(40)^24-E(40)^29+E(40)^31-E(40)^37+E(40)^39	3.0322475511229903	[ 12, 3, 3 ]	[ 240, 480, 120, 20 ]	2880	12	[ 48, 72, 12 ]	false	true	true	[ [ 1, 5 ] ]	[ [ 40, 40, 40, 2, 15, 40 ] ]
L3-{5,3,5/2}-5	O(4) (Level 3)	{5,3,5/2}	-E(40)^7+E(40)^8+E(40)^13-E(40)^23+E(40)^32+E(40)^37	1.492066037647537	[ 12, 3, 4 ]	[ 48, 144, 48, 8 ]	1152	24	[ 48, 72, 12 ]	false	false	true	[ [ 1, 5 ] ]	[ [ 12, 24, 24, 2, 4, 24 ], [ 24, 12, 12, 2, 8, 24 ] ]
L3-{5,3,5/2}-6	O(4) (Level 3)	{5,3,5/2}	E(40)^7+E(40)^8-E(40)^13+E(40)^23+E(40)^32-E(40)^37	-0.25599806014774751	[ 12, 3, 4 ]	[ 48, 144, 48, 8 ]	1152	24	[ 48, 72, 12 ]	false	false	true	[ [ 1, 5 ] ]	[ [ 12, 24, 24, 2, 4, 24 ], [ 24, 12, 12, 2, 8, 24 ] ]
L3-{5,3,5/2}-7	O(4) (Level 3)	{5,3,5/2}	-E(40)^8-2*E(40)^16+E(40)^21-2*E(40)^24+E(40)^29-E(40)^31-E(40)^32-E(40)^39	0.32978837747915779	[ 12, 3, 4 ]	[ 48, 144, 48, 8 ]	1152	24	[ 48, 72, 12 ]	false	false	true	[ [ 1, 5 ] ]	[ [ 12, 24, 24, 2, 4, 24 ], [ 24, 12, 12, 2, 8, 24 ] ]
L3-{5,3,5/2}-8	O(4) (Level 3)	{5,3,5/2}	-E(40)^8-2*E(40)^16-E(40)^21-2*E(40)^24-E(40)^29+E(40)^31-E(40)^32+E(40)^39	4.906279600020631	[ 12, 3, 4 ]	[ 48, 144, 48, 8 ]	1152	24	[ 48, 72, 12 ]	false	false	true	[ [ 1, 5 ] ]	[ [ 12, 24, 24, 2, 4, 24 ], [ 24, 12, 12, 2, 8, 24 ] ]
L3-{5,3,5/2}-9	O(4) (Level 3)	{5,3,5/2}	1	1.	[ 12, 3, 5 ]	[ 120, 720, 300, 50 ]	7200	60	[ 48, 72, 12 ]	false	false	true	[ [ 1, 5 ] ]	[ [ 5, 15, 15, 2, 15, 12 ], [ 15, 5, 5, 2, 10, 15 ] ]
L3-{5,3,5/2}-10	O(4) (Level 3)	{5,3,5/2}	-1	-1.	[ 12, 3, 5 ]	[ 120, 720, 300, 50 ]	7200	60	[ 48, 72, 12 ]	false	false	true	[ [ 1, 5 ] ]	[ [ 10, 30, 30, 2, 15, 12 ], [ 30, 10, 10, 2, 10, 30 ] ]
L3-{5,3,5/2}-11	O(4) (Level 3)	{5,3,5/2}	E(5)+E(5)^4	0.61803398874989468	[ 12, 3, 5 ]	[ 120, 720, 300, 50 ]	7200	60	[ 48, 72, 12 ]	false	false	true	[ [ 1, 5 ] ]	[ [ 10, 30, 30, 2, 15, 12 ], [ 30, 10, 10, 2, 10, 30 ] ]
L3-{5,3,5/2}-12	O(4) (Level 3)	{5,3,5/2}	E(5)+4*E(5)^2+4*E(5)^3+E(5)^4	-5.8541019662496838	[ 12, 3, 5 ]	[ 120, 720, 300, 50 ]	7200	60	[ 48, 72, 12 ]	false	false	true	[ [ 1, 5 ] ]	[ [ 5, 15, 15, 2, 15, 12 ], [ 15, 5, 5, 2, 10, 15 ] ]
L3-{5,3,5/2}-13	O(4) (Level 3)	{5,3,5/2}	2	2.	[ 12, 3, 5 ]	[ 120, 720, 300, 50 ]	7200	60	[ 48, 72, 12 ]	false	false	true	[ [ 1, 5 ] ]	[ [ 10, 30, 30, 2, 15, 12 ], [ 30, 10, 10, 2, 10, 30 ] ]
L3-{5,3,5/2}-14	O(4) (Level 3)	{5,3,5/2}	-E(5)-2*E(5)^2-2*E(5)^3-E(5)^4	2.6180339887498949	[ 12, 3, 5 ]	[ 120, 720, 300, 50 ]	7200	60	[ 48, 72, 12 ]	false	false	true	[ [ 1, 5 ] ]	[ [ 10, 30, 30, 2, 15, 12 ], [ 30, 10, 10, 2, 10, 30 ] ]
L3-{5,3,5/2}-15	O(4) (Level 3)	{5,3,5/2}	-5*E(5)-2*E(5)^2-2*E(5)^3-5*E(5)^4	0.14589803375031618	[ 12, 3, 5 ]	[ 120, 720, 300, 50 ]	7200	60	[ 48, 72, 12 ]	false	false	true	[ [ 1, 5 ] ]	[ [ 5, 15, 15, 2, 15, 12 ], [ 15, 5, 5, 2, 10, 15 ] ]
L3-{5,3,5/2}-16	O(4) (Level 3)	{5,3,5/2}	0	0.	[ 12, 3, 5 ]	[ 120, 720, 300, 50 ]	7200	60	[ 48, 72, 12 ]	false	false	true	[ [ 1, 5 ] ]	[ [ 5, 15, 15, 2, 15, 12 ], [ 15, 5, 5, 2, 10, 15 ] ]
L3-{3,3,5/2}-1	O(4) (Level 3)	{3,3,5/2}	1	1.	[ 30, 3, 3 ]	[ 600, 1200, 120, 5 ]	7200	12	[ 480, 720, 48 ]	false	false	true	[ [ 7, 13 ] ]	[ [ 5, 30, 30, 2, 20, 30 ], [ 30, 5, 5, 2, 5, 5 ] ]
L3-{3,3,5/2}-4	O(4) (Level 3)	{3,3,5/2}	-E(40)^7+E(40)^13+2*E(40)^16+2*E(40)^21-E(40)^23+2*E(40)^24+2*E(40)^29-2*E(40)^31+E(40)^37-2*E(40)^39	-6.9385271511436226	[ 30, 3, 3 ]	[ 600, 1200, 120, 5 ]	7200	12	[ 480, 720, 48 ]	false	false	true	[ [ 7, 13 ] ]	[ [ 5, 30, 30, 2, 20, 30 ], [ 30, 5, 5, 2, 5, 5 ] ]
